Text content,Title,poem_id,Text_cleaned,Title_cleaned
حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,1,حبيبتي حالي من الشوق داني,لا تسال مجرب
أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسـأل مجـرّب,1,اشرق بحبك واعود اغرب,لا تسال مجرب
أنـانـي فْـ وصـلك لـكـن يالأنـاني,لا تسـأل مجـرّب,1,اناني ف وصلك لكن يالاناني,لا تسال مجرب
تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسـأل مجـرّب,1,ترى الانانيه ف طبعك تخرب,لا تسال مجرب
لحظات حبّـك حطّـمت لي كـياني,لا تسـأل مجـرّب,1,لحظات حبك حطمت لي كياني,لا تسال مجرب
والحزن من بين الـمحـاني تـسـرّب,لا تسـأل مجـرّب,1,والحزن من بين المحاني تسرب,لا تسال مجرب
تـسـرّب وصـكّـت عـلـيه الـمـحاني,لا تسـأل مجـرّب,1,تسرب وصكت عليه المحاني,لا تسال مجرب
كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسـأل مجـرّب,1,كنه لوصلك بالجروح يتقرب,لا تسال مجرب
يا مْعـرّب الأنـسـاب خـدر العـياني,لا تسـأل مجـرّب,1,يا معرب الانساب خدر العياني,لا تسال مجرب
سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسـأل مجـرّب,1,سلم العرب لا تجهله يالمعرب,لا تسال مجرب
شـربت حـبّـك لين فـاض الحناني,لا تسـأل مجـرّب,1,شربت حبك لين فاض الحناني,لا تسال مجرب
وقامـت عروقي من غـلاك تْـشـرّب,لا تسـأل مجـرّب,1,وقامت عروقي من غلاك تشرب,لا تسال مجرب
ثـــلاث مـرّات .. وانـت تـدوّر فـراقي,ثــلاث مـرّات,2,ثلاث مرات وانت تدور فراقي,ثلاث مرات
وثــلاث مـرّات .. وانـا اقـول لا ترحــل,ثــلاث مـرّات,2,وثلاث مرات وانا اقول لا ترحل,ثلاث مرات
الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي,ثــلاث مـرّات,2,الظاهر ان الغلا ما عاد له باقي,ثلاث مرات
بيـني وبينك أشوف الوضع مسـتفـحل,ثــلاث مـرّات,2,بيني وبينك اشوف الوضع مستفحل,ثلاث مرات
عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي,ثــلاث مـرّات,2,عشرة زمن تجبر المشتاق يشتاقي,ثلاث مرات
سـحـلـتـها بالهـجـر، والوصـل ما يسـحل,ثــلاث مـرّات,2,سحلتها بالهجر والوصل ما يسحل,ثلاث مرات
عليك صــابر، وهذي قيـمـة اخــلاقي,ثــلاث مـرّات,2,عليك صابر وهذي قيمة اخلاقي,ثلاث مرات
لأن أرض الوفــــا دون الـوفـا تـمـحــــل,ثــلاث مـرّات,2,لان ارض الوفا دون الوفا تمحل,ثلاث مرات
ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي,ثــلاث مـرّات,2,ولانك الغالي اللي حرك اشواقي,ثلاث مرات
بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,ثــلاث مـرّات,2,بمكحلات العيون اللي بلا مكحل,ثلاث مرات
بالرقّـه .. انت الأرَق، وذوقك الراقي,ثــلاث مـرّات,2,بالرقه انت الارق وذوقك الراقي,ثلاث مرات
وبين الخصور النواحل خصرك الأنحل,ثــلاث مـرّات,2,وبين الخصور النواحل خصرك الانحل,ثلاث مرات
وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي,ثــلاث مـرّات,2,وقلوب عشاقك اللي كثر عشاقي,ثلاث مرات
عيونـهـم نحـل، لان شـفاتـك الـمنحل,ثــلاث مـرّات,2,عيونهم نحل لان شفاتك المنحل,ثلاث مرات
أصـعب سؤال فْـ حياة العاشق الشاقي,ثــلاث مـرّات,2,اصعب سؤال ف حياة العاشق الشاقي,ثلاث مرات
إللي طـرحتـه علـيك وما لـقـيت الحـل,ثــلاث مـرّات,2,اللي طرحته عليك وما لقيت الحل,ثلاث مرات
وشلون ترحل وحبّك وسـط الاعـماقي,ثــلاث مـرّات,2,وشلون ترحل وحبك وسط الاعماقي,ثلاث مرات
وانـا نـويت الرحـيل، وما قدرت أرحـل,ثــلاث مـرّات,2,وانا نويت الرحيل وما قدرت ارحل,ثلاث مرات
صاحبي يافاهمٍ قصدي ترى ما كل ديره,هواء الإمارات وثراها,3,صاحبي يافاهم قصدي ترى ما كل ديره,هواء الامارات وثراها
آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,هواء الإمارات وثراها,3,اتمشى في حدايقها وينعشني هواها,هواء الامارات وثراها
إتأسر قلبي لو ان نفسي في راحتها أسيره,هواء الإمارات وثراها,3,اتاسر قلبي لو ان نفسي في راحتها اسيره,هواء الامارات وثراها
كم بلاد يمرّها قلبي واذا سافر نساها,هواء الإمارات وثراها,3,كم بلاد يمرها قلبي واذا سافر نساها,هواء الامارات وثراها
خذ مَثَل هواء لندن لا خلط مسكه عبيره,هواء الإمارات وثراها,3,خذ مثل هواء لندن لا خلط مسكه عبيره,هواء الامارات وثراها
لو هواء بلاد زايد ماهو يشابه هواها,هواء الإمارات وثراها,3,لو هواء بلاد زايد ماهو يشابه هواها,هواء الامارات وثراها
والله انها أوّل احباب المشاعر والأخيره,هواء الإمارات وثراها,3,والله انها اول احباب المشاعر والاخيره,هواء الامارات وثراها
يا عساني فدوة اوّلها وفدوة منتهاها,هواء الإمارات وثراها,3,يا عساني فدوة اولها وفدوة منتهاها,هواء الامارات وثراها
ألله اكبر يالسنين العوج والشرهه كبيره,هواء الإمارات وثراها,3,الله اكبر يالسنين العوج والشرهه كبيره,هواء الامارات وثراها
شرهة العاقل على عوج السنين اللي مداها,هواء الإمارات وثراها,3,شرهة العاقل على عوج السنين اللي مداها,هواء الامارات وثراها
كل ما طالت ما نامن شرّها والطول خيره,هواء الإمارات وثراها,3,كل ما طالت ما نامن شرها والطول خيره,هواء الامارات وثراها
إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,هواء الإمارات وثراها,3,انما للخالدين اللي مخلدها نباها,هواء الامارات وثراها
والقلوب اللي مشاعرها مع العالم غفيره,هواء الإمارات وثراها,3,والقلوب اللي مشاعرها مع العالم غفيره,هواء الامارات وثراها
الـظــروف الكـايـده تردّها عن مـشـتـهاها,هواء الإمارات وثراها,3,الظروف الكايده تردها عن مشتهاها,هواء الامارات وثراها
مشتهاها تجعل الدنيا مثل وصف البحيره,هواء الإمارات وثراها,3,مشتهاها تجعل الدنيا مثل وصف البحيره,هواء الامارات وثراها
لـذّةٍ للـشــــــاربـيـن، ومـتـعــةٍ لـمـن رآهـــا,هواء الإمارات وثراها,3,لذة للشاربين ومتعة لمن راها,هواء الامارات وثراها
هكذا الإنسان عمره يوم حس ويوم غيره,هواء الإمارات وثراها,3,هكذا الانسان عمره يوم حس ويوم غيره,هواء الامارات وثراها
لو تحاول تجمع ايّامه وتبحث وش وراها,هواء الإمارات وثراها,3,لو تحاول تجمع ايامه وتبحث وش وراها,هواء الامارات وثراها
ما وراها غير باقي ذكرياته في مصيره,هواء الإمارات وثراها,3,ما وراها غير باقي ذكرياته في مصيره,هواء الامارات وثراها
يوم شاف امجاد غيره قال ياليته خذاها,هواء الإمارات وثراها,3,يوم شاف امجاد غيره قال ياليته خذاها,هواء الامارات وثراها
يحسب ان المجد فجأه ما درى ان المجد سيره,هواء الإمارات وثراها,3,يحسب ان المجد فجاه ما درى ان المجد سيره,هواء الامارات وثراها
سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,هواء الإمارات وثراها,3,سيرة ما تنتهي دام الكواكب في سماها,هواء الامارات وثراها
والـقدر على وتيـره .. والعـمر على وتيـره,هواء الإمارات وثراها,3,والقدر على وتيره والعمر على وتيره,هواء الامارات وثراها
والثـنين لبعـضـهم يمـشون والدنيا عطاها,هواء الإمارات وثراها,3,والثنين لبعضهم يمشون والدنيا عطاها,هواء الامارات وثراها
ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره,هواء الإمارات وثراها,3,ماهو بورث تحكم فيه عميان البصيره,هواء الامارات وثراها
كان ما مدّيتها بالجـهد ما نـالك رضاها,هواء الإمارات وثراها,3,كان ما مديتها بالجهد ما نالك رضاها,هواء الامارات وثراها
السعاده لو تباع فـ سوق الاحزان الكثيره,هواء الإمارات وثراها,3,السعاده لو تباع ف سوق الاحزان الكثيره,هواء الامارات وثراها
كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,هواء الإمارات وثراها,3,كل واحد يعتريه الحزن تلقاه اشتراها,هواء الامارات وثراها
السـعاده ما اشـترتها روس الاموال الوفـيره,هواء الإمارات وثراها,3,السعاده ما اشترتها روس الاموال الوفيره,هواء الامارات وثراها
شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,هواء الإمارات وثراها,3,شوف كم تاجر يدورها ولكن ما لقاها,هواء الامارات وثراها
بس انا محتاج ما لا احتاج فـعلاً شي غيره,هواء الإمارات وثراها,3,بس انا محتاج ما لا احتاج فعلا شي غيره,هواء الامارات وثراها
شي يسمو بالنفوس لين يظهر محتواها,هواء الإمارات وثراها,3,شي يسمو بالنفوس لين يظهر محتواها,هواء الامارات وثراها
هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره,هواء الإمارات وثراها,3,هي قصيدة شاعر وضح لك اللي في ظميره,هواء الامارات وثراها
إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,هواء الإمارات وثراها,3,ايعرف وش علته لكن يجهل وش دواها,هواء الامارات وثراها
غاص بالهوجاس باعماق المحيطات الغزيره,هواء الإمارات وثراها,3,غاص بالهوجاس باعماق المحيطات الغزيره,هواء الامارات وثراها
ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,هواء الإمارات وثراها,3,لين جاب اللي يليق بمستواه ومستواها,هواء الامارات وثراها
مو مهم تكون نـشرت في مجلات الجزيره,هواء الإمارات وثراها,3,مو مهم تكون نشرت في مجلات الجزيره,هواء الامارات وثراها
الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,هواء الإمارات وثراها,3,المهم تقول لي كم شخص متثقف قراها,هواء الامارات وثراها
الـمهم ان (لندن) اللي مسكها يخالط عبيره,هواء الإمارات وثراها,3,المهم ان لندن اللي مسكها يخالط عبيره,هواء الامارات وثراها
آغلى منها هوا أرض ( الإمــــارات ) وثراها,هواء الإمارات وثراها,3,اغلى منها هوا ارض الامارات وثراها,هواء الامارات وثراها
يتيـم فـاقد شـوفة امّـه من سـنين,يتيم,4,يتيم فاقد شوفة امه من سنين,يتيم
وابوه مـات مْن القـهـر والتجـنّـي,يتيم,4,وابوه مات من القهر والتجني,يتيم
ما شاف واحد منهم بْـنظرة العين,يتيم,4,ما شاف واحد منهم بنظرة العين,يتيم
والحزن يهدم في الضلوع وْيبـنّـي,يتيم,4,والحزن يهدم في الضلوع ويبني,يتيم
تـنزل دمـوعه من لحـون الـمغـنّـين,يتيم,4,تنزل دموعه من لحون المغنين,يتيم
واهل اللحـون مْن السـعاده تغـنّـي,يتيم,4,واهل اللحون من السعاده تغني,يتيم
قالوا تمنّى؟ قال ابا شوف الاثنين,يتيم,4,قالوا تمنى قال ابا شوف الاثنين,يتيم
كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,يتيم,4,كانه يفيد الميتين التمني,يتيم
يا كامل الأوصـاف، يا نادر الزين,يتيم,4,يا كامل الاوصاف يا نادر الزين,يتيم
هذا شعـوري كل ما غبـت عنّـي,يتيم,4,هذا شعوري كل ما غبت عني,يتيم
كيف آتقبّـل تعزية بُـعدك الشـين,يتيم,4,كيف اتقبل تعزية بعدك الشين,يتيم
وآشـوف عـذّالي تجـيـك وْتهـنّـي,يتيم,4,واشوف عذالي تجيك وتهني,يتيم
دام الهجر والشـوق والحزن قاسيـن,يتيم,4,دام الهجر والشوق والحزن قاسين,يتيم
لـيتـك علـينا يا حـبيـبي تـحـنّـي,يتيم,4,ليتك علينا يا حبيبي تحني,يتيم
يكفيك فـنّي عن فنون الـمحبّـين,يتيم,4,يكفيك فني عن فنون المحبين,يتيم
كم مـرّه اسـتطربت والـفـن فـنّـي,يتيم,4,كم مره استطربت والفن فني,يتيم
كـنت آتـأنّى من فراقـك مـعي ليـن,يتيم,4,كنت اتانى من فراقك معي لين,يتيم
طـوّلـت بفراقك ومـات الـتـأنّـي,يتيم,4,طولت بفراقك ومات التاني,يتيم
وكان الخطا منّك، مسامحك هالحين,يتيم,4,وكان الخطا منك مسامحك هالحين,يتيم
وكان الخطا منّي، وش تريد منّـي؟,يتيم,4,وكان الخطا مني وش تريد مني,يتيم
حبـيـبتي مـرّت على بـالـي الـيـوم,مرت على بـالي,5,حبيبتي مرت على بالي اليوم,مرت على بالي
وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,مرت على بـالي,5,و وقفت تقدير لها يوم مرت,مرت على بالي
جابت لي الفرحـه وانا كنت مهـمـوم,مرت على بـالي,5,جابت لي الفرحه وانا كنت مهموم,مرت على بالي
الظـاهـر انـها عـن عـلـومي تـحـرّت,مرت على بـالي,5,الظاهر انها عن علومي تحرت,مرت على بالي
وفراقـها كـوّن فـي خـفّـاقي غـيـوم,مرت على بـالي,5,وفراقها كون في خفاقي غيوم,مرت على بالي
أمـطـــارها عـلى الـفـيـافـي لا خـرّت,مرت على بـالي,5,امطارها على الفيافي لا خرت,مرت على بالي
تـنـبت من الأزهـار ما كان مـعـدوم,مرت على بـالي,5,تنبت من الازهار ما كان معدوم,مرت على بالي
وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت,مرت على بـالي,5,وتسر نفس من زمن ما استسرت,مرت على بالي
فـي حبّـها حـسّــادي تـكـثّـر اللـوم,مرت على بـالي,5,في حبها حسادي تكثر اللوم,مرت على بالي
وهي ورا عـوج الـضـلـوع اسـتـقــرّت,مرت على بـالي,5,وهي ورا عوج الضلوع استقرت,مرت على بالي
أحلـم بها وآطـيح فـي النوم وآقوم,مرت على بـالي,5,احلم بها واطيح في النوم واقوم,مرت على بالي
فرحان .. لكن فرحتي ما اسـتمرّت,مرت على بـالي,5,فرحان لكن فرحتي ما استمرت,مرت على بالي
إلى صـحـيت آعاتـب الـحـظ وآلـوم,مرت على بـالي,5,الى صحيت اعاتب الحظ والوم,مرت على بالي
الايام .. والأيـام مـنـها تـبــــرّت,مرت على بـالي,5,الايام والايام منها تبرت,مرت على بالي
الهـجر طـعـنة خاين بْسيف مسمـوم,مرت على بـالي,5,الهجر طعنة خاين بسيف مسموم,مرت على بالي
نـفسـه على فـعـل الـخـيانـه تضــرّت,مرت على بـالي,5,نفسه على فعل الخيانه تضرت,مرت على بالي
ومن يحرم مْن العشـق يعيش محروم,مرت على بـالي,5,ومن يحرم من العشق يعيش محروم,مرت على بالي
كـم روح من قل الوصـال استـضـرّت,مرت على بـالي,5,كم روح من قل الوصال استضرت,مرت على بالي
لا جيت انام .. النفس ما تعشق النوم,مرت على بـالي,5,لا جيت انام النفس ما تعشق النوم,مرت على بالي
حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت,مرت على بـالي,5,حاولت اقنعها لكنها اصرت,مرت على بالي
تبـغي حـبيـبة قلـبـي الـغـالــيه دوم,مرت على بـالي,5,تبغي حبيبة قلبي الغاليه دوم,مرت على بالي
تمـر فـي بـالـي، وآوقّـف لا مـــرّت,مرت على بـالي,5,تمر في بالي واوقف لا مرت,مرت على بالي
إنتـه ذهـب من دون ما تلـبـس ذهـــب,لا تلبـس ذهـب,6,انته ذهب من دون ما تلبس ذهب,لا تلبس ذهب
وش لـه تـروح الـســوق وتـدوّر عـلـيـه,لا تلبـس ذهـب,6,وش له تروح السوق وتدور عليه,لا تلبس ذهب
سـبـحـان مـن سـوّا .. وْجَـلَّ مـن وهـــب,لا تلبـس ذهـب,6,سبحان من سوا وجل من وهب,لا تلبس ذهب
حــــلاك بـيـدينـك كأنـّـك مـنـتـقـيــه,لا تلبـس ذهـب,6,حلاك بيدينك كانك منتقيه,لا تلبس ذهب
شـفايـفـك جـمـره .. وثـغـرك من لـهـب,لا تلبـس ذهـب,6,شفايفك جمره وثغرك من لهب,لا تلبس ذهب
خايـف على خـدّك لهـب ثغـرك يجـيه,لا تلبـس ذهـب,6,خايف على خدك لهب ثغرك يجيه,لا تلبس ذهب
لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب,لا تلبـس ذهـب,6,لو كان رمشك ينهب كان انهب,لا تلبس ذهب
من كل عاقل شاف رمشك .. أو سـفيه,لا تلبـس ذهـب,6,من كل عاقل شاف رمشك او سفيه,لا تلبس ذهب
لا ترتـهـب مـا فـيـه واحـد يرتـهـــب,لا تلبـس ذهـب,6,لا ترتهب ما فيه واحد يرتهب,لا تلبس ذهب
مـن واحـد يْـحـــبّـه وخـفـّـاقـه يـبـيــه,لا تلبـس ذهـب,6,من واحد يحبه وخفاقه يبيه,لا تلبس ذهب
أنا فـْ مـهــب الـريــــح إلاّ انـت فـْ مـهــب,لا تلبـس ذهـب,6,انا ف مهب الريح الا انت ف مهب,لا تلبس ذهب
شـوق ٍسـكـن قلـبـي وقـلـبـي مـحـتـويـه,لا تلبـس ذهـب,6,شوق سكن قلبي وقلبي محتويه,لا تلبس ذهب
ذهـب مـعـك قلـبـي .. يالـيـتـه ما ذهب,لا تلبـس ذهـب,6,ذهب معك قلبي ياليته ما ذهب,لا تلبس ذهب
لا قلـت عـوّد قـال انـا بـامـــوت فـيـه,لا تلبـس ذهـب,6,لا قلت عود قال انا باموت فيه,لا تلبس ذهب
تـدري وش يْخـلـّي جـروحـي تلتهـب؟,لا تلبـس ذهـب,6,تدري وش يخلي جروحي تلتهب,لا تلبس ذهب
إنـّي أخـلـّي شــــيّ .. وآنـا مـشـتـهـيـه,لا تلبـس ذهـب,6,اني اخلي شي وانا مشتهيه,لا تلبس ذهب
حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,7,حبيبتي حالي من الشوق داني,لا تسال مجرب
أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسـأل مجـرّب,7,اشرق بحبك واعود اغرب,لا تسال مجرب
أنـانـي فْـ وصـلك لـكـن يالأنـاني,لا تسـأل مجـرّب,7,اناني ف وصلك لكن يالاناني,لا تسال مجرب
تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسـأل مجـرّب,7,ترى الانانيه ف طبعك تخرب,لا تسال مجرب
لحظات حبّـك حطّـمت لي كـياني,لا تسـأل مجـرّب,7,لحظات حبك حطمت لي كياني,لا تسال مجرب
والحزن من بين الـمحـاني تـسـرّب,لا تسـأل مجـرّب,7,والحزن من بين المحاني تسرب,لا تسال مجرب
تـسـرّب وصـكّـت عـلـيه الـمـحاني,لا تسـأل مجـرّب,7,تسرب وصكت عليه المحاني,لا تسال مجرب
كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسـأل مجـرّب,7,كنه لوصلك بالجروح يتقرب,لا تسال مجرب
يا مْعـرّب الأنـسـاب خـدر العـياني,لا تسـأل مجـرّب,7,يا معرب الانساب خدر العياني,لا تسال مجرب
سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسـأل مجـرّب,7,سلم العرب لا تجهله يالمعرب,لا تسال مجرب
شـربت حـبّـك لين فـاض الحناني,لا تسـأل مجـرّب,7,شربت حبك لين فاض الحناني,لا تسال مجرب
وقامـت عروقي من غـلاك تْـشـرّب,لا تسـأل مجـرّب,7,وقامت عروقي من غلاك تشرب,لا تسال مجرب
ياللي تـقـول اسـأل مجـرّب تـراني,لا تسـأل مجـرّب,7,ياللي تقول اسال مجرب تراني,لا تسال مجرب
سألـت واحـد .. بس قـام يْـتهــرّب,لا تسـأل مجـرّب,7,سالت واحد بس قام يتهرب,لا تسال مجرب
لا تسـأل مجـرّب يا قـلـب وتعـاني,لا تسـأل مجـرّب,7,لا تسال مجرب يا قلب وتعاني,لا تسال مجرب
إسأل طبـيب وْ خل عـنك الـمجـرّب,لا تسـأل مجـرّب,7,اسال طبيب و خل عنك المجرب,لا تسال مجرب
للـشـعـر فـكـره وللـهــاجـس مـيـة طــاري,قصر زعبيل,8,للشعر فكره وللهاجس مية طاري,قصر زعبيل
تــرزّ للــقـمّــــــــــه الـعـــلــيـــا بـيــــــــارقـهــا,قصر زعبيل,8,ترز للقمه العليا بيارقها,قصر زعبيل
وقـصـيدتي من حـصـيلة نـاتـج افـكــاري,قصر زعبيل,8,وقصيدتي من حصيلة ناتج افكاري,قصر زعبيل
كـل الـقـصـــايـد الى مـن جـات تـفـرقـها,قصر زعبيل,8,كل القصايد الى من جات تفرقها,قصر زعبيل
لـو أبـغــي أغــرّق الـســاحـه بـإبـحـــاري,قصر زعبيل,8,لو ابغي اغرق الساحه بابحاري,قصر زعبيل
غـرّقـــتـهــا بس انـا مـا احــــب اغـرّقــهــا,قصر زعبيل,8,غرقتها بس انا ما احب اغرقها,قصر زعبيل
أرسـم مـلامـح طـمـوحاتي فـي أشـعـاري,قصر زعبيل,8,ارسم ملامح طموحاتي في اشعاري,قصر زعبيل
واحـاول اني قبل ما امــــوت احـقـقـهـا,قصر زعبيل,8,واحاول اني قبل ما اموت احققها,قصر زعبيل
واعرف مـقـدار غـيـري قبل مـقــــداري,قصر زعبيل,8,واعرف مقدار غيري قبل مقداري,قصر زعبيل
واخـطاء نـفـسي على غـيـري ما اعـلـّقها,قصر زعبيل,8,واخطاء نفسي على غيري ما اعلقها,قصر زعبيل
لـكـن مــشـــوار عـمـــري لى مـتى ســــاري,قصر زعبيل,8,لكن مشوار عمري لى متى ساري,قصر زعبيل
أرهـقـت نـفـسـي وما ادري لـيه مرهـقـهـا,قصر زعبيل,8,ارهقت نفسي وما ادري ليه مرهقها,قصر زعبيل
قدام تـتـعـب قـدم رجـلـي يـا مـشـواري,قصر زعبيل,8,قدام تتعب قدم رجلي يا مشواري,قصر زعبيل
الايـــــام ســاعــاتـهـا تـشـــــرح دقـايـقــهـا,قصر زعبيل,8,الايام ساعاتها تشرح دقايقها,قصر زعبيل
مـراحـل الـعـمـر تـجري والـزمـن جـاري,قصر زعبيل,8,مراحل العمر تجري والزمن جاري,قصر زعبيل
والـنـاس تـفـنـى ويـبـقـى وجـــه خـالـقـهـا,قصر زعبيل,8,والناس تفنى ويبقى وجه خالقها,قصر زعبيل
وانـا طـمـوحـي تـخـلّـد فـعـلـي اخـبـــاري,قصر زعبيل,8,وانا طموحي تخلد فعلي اخباري,قصر زعبيل
فـ ارشـيـــف تــــاريـخ الافـعـال ووثـايـقـهـا,قصر زعبيل,8,ف ارشيف تاريخ الافعال ووثايقها,قصر زعبيل
نـجـاحـي لـشـخـصي اعــداءه يـا أنـصـاري,قصر زعبيل,8,نجاحي لشخصي اعداءه يا انصاري,قصر زعبيل
أكـيـد مـنـطــقـه مـا يـشــبـه لـمـنـطـقـهــا,قصر زعبيل,8,اكيد منطقه ما يشبه لمنطقها,قصر زعبيل
من يـامـر بـسـتر خـلـق الله وهـو عــاري,قصر زعبيل,8,من يامر بستر خلق الله وهو عاري,قصر زعبيل
نـصـيـحـتـه مـن عـلى نـفـسـه يـطـبّـقـهـا,قصر زعبيل,8,نصيحته من على نفسه يطبقها,قصر زعبيل
مـن كـثر مـا اخـاطـب الـعـالـم بـمـعـيـاري,قصر زعبيل,8,من كثر ما اخاطب العالم بمعياري,قصر زعبيل
دايــم أمـيّـــــز لـكـــــاذبـهـا وصــــادقـهـا,قصر زعبيل,8,دايم اميز لكاذبها وصادقها,قصر زعبيل
صـحــيـح انـا مـا مـعـي جـنـّـه ولا نـــاري,قصر زعبيل,8,صحيح انا ما معي جنه ولا ناري,قصر زعبيل
لـكـن ربّــــــي خـلــــق خـلـقــــــه وفـرّقـهـا,قصر زعبيل,8,لكن ربي خلق خلقه وفرقها,قصر زعبيل
من شرفة القصر اناظر خلف الاسواري,قصر زعبيل,8,من شرفة القصر اناظر خلف الاسواري,قصر زعبيل
وجـيـه نــــــاس ٍعـســى ربّـــــي يـوفـّـقــهـا,قصر زعبيل,8,وجيه ناس عسى ربي يوفقها,قصر زعبيل
ويزيـد عزمـي بفـعـل الـخير واصـراري,قصر زعبيل,8,ويزيد عزمي بفعل الخير واصراري,قصر زعبيل
فـي خـدمـــة بـــلاد برق الـعــز بـارقـهــا,قصر زعبيل,8,في خدمة بلاد برق العز بارقها,قصر زعبيل
والـطـيـب قـصّـه وفـيها مـعـظـم اسراري,قصر زعبيل,8,والطيب قصه وفيها معظم اسراري,قصر زعبيل
والــذل نـــار ونــفـوس الــذل يـحـرقـها,قصر زعبيل,8,والذل نار ونفوس الذل يحرقها,قصر زعبيل
يا قـصر ( زعـبـيل ) دامك بالحزن داري,قصر زعبيل,8,يا قصر زعبيل دامك بالحزن داري,قصر زعبيل
لا تـعـلّـم ( دبـــي ) وتـبـكـّـي مـنـاطـقـهـا,قصر زعبيل,8,لا تعلم دبي وتبكي مناطقها,قصر زعبيل
الحزن اخوي الصـغير وضيفي وجاري,قصر زعبيل,8,الحزن اخوي الصغير وضيفي وجاري,قصر زعبيل
فـي غربـة الأرض الوسـيـعه أو مشارقها,قصر زعبيل,8,في غربة الارض الوسيعه او مشارقها,قصر زعبيل
مافـي عـيـوني سـوى دمـعـات تـذكــاري,قصر زعبيل,8,مافي عيوني سوى دمعات تذكاري,قصر زعبيل
لـولا السـحا مـن مـحاجـر عـيني أعـتـقـهـا,قصر زعبيل,8,لولا السحا من محاجر عيني اعتقها,قصر زعبيل
من جـايع الوصـل .. للّي حبّها شـبعه,قلب السبع,9,من جايع الوصل للي حبها شبعه,قلب السبع
لا اطربني الشوق كيف اشبع من الطربه,قلب السبع,9,لا اطربني الشوق كيف اشبع من الطربه,قلب السبع
حُـر الهـوى لو يلومه في الهـوى تِبعـه,قلب السبع,9,حر الهوى لو يلومه في الهوى تبعه,قلب السبع
ما شاف مخلابه اللي مدميٍ خِـربه,قلب السبع,9,ما شاف مخلابه اللي مدمي خربه,قلب السبع
من حصّل اللي خذا قلبي وانا تَـبعه,قلب السبع,9,من حصل اللي خذا قلبي وانا تبعه,قلب السبع
قلبـي على دربـها، وآنـا عـلى دربـه,قلب السبع,9,قلبي على دربها وانا على دربه,قلب السبع
غزالـة الـوادي اللي جـرّحـت سِـبعـه,قلب السبع,9,غزالة الوادي اللي جرحت سبعه,قلب السبع
من شرق قلب السبع تخـتال لا غربه,قلب السبع,9,من شرق قلب السبع تختال لا غربه,قلب السبع
خذت من القلب ثلث الشـوق أو رُبـعـه,قلب السبع,9,خذت من القلب ثلث الشوق او ربعه,قلب السبع
بالنظـره الواثقـه، والـهرجه الــذربـه,قلب السبع,9,بالنظره الواثقه والهرجه الذربه,قلب السبع
والكـره .. مثل السحابه في شهر سبعه,قلب السبع,9,والكره مثل السحابه في شهر سبعه,قلب السبع
ما تنـبت العشـب وَلاَ تسـقي التـربه,قلب السبع,9,ما تنبت العشب ولا تسقي التربه,قلب السبع
والـحب .. نهـرٍ مصـبّه فاض من نبـعه,قلب السبع,9,والحب نهر مصبه فاض من نبعه,قلب السبع
شـوفه يكفّـيك يالظـميان عن شربه,قلب السبع,9,شوفه يكفيك يالظميان عن شربه,قلب السبع
والوصل .. مثل الشجاع الشهم في رَبعه,قلب السبع,9,والوصل مثل الشجاع الشهم في ربعه,قلب السبع
ما يرهـب السيف وَلاَ يرهب الحربـه,قلب السبع,9,ما يرهب السيف ولا يرهب الحربه,قلب السبع
والهجر .. مثل الذليل اللي فشل طبعـه,قلب السبع,9,والهجر مثل الذليل اللي فشل طبعه,قلب السبع
من ذلّه .. الناس محدٍ يطمع فْـ قربه,قلب السبع,9,من ذله الناس محد يطمع ف قربه,قلب السبع
