singer_id,youtube_url
8,https://www.youtube.com/watch?v=MgolzyCZgWI
1,https://www.youtube.com/watch?v=_yDwNAX7kTQ
4,https://www.youtube.com/watch?v=2gR-aMOhAkw
12,https://www.youtube.com/watch?v=WlPQ6LzLfow
5,https://www.youtube.com/watch?v=diCTnKQ1-NA
14,https://www.youtube.com/watch?v=OG02kwWSxL8
4,https://www.youtube.com/watch?v=LL1FsPECGyY
12,https://www.youtube.com/watch?v=n_rMzfnGbYo
24,https://www.youtube.com/watch?v=EL9vWnl-DVI
16,https://www.youtube.com/watch?v=OAlSSQi49-8
2,https://www.youtube.com/watch?v=2gcwIo3iB1c
7,https://www.youtube.com/watch?v=_G24GFXnVpk
18,https://www.youtube.com/watch?v=2O32UPkAVTw
3,https://www.youtube.com/watch?v=_-kHBDwCoOc
1,https://www.youtube.com/watch?v=kE-Zy77MZLM
5,https://www.youtube.com/watch?v=7SnOQfUu7H4
2,https://www.youtube.com/watch?v=PclgUb0Az-0
2,https://www.youtube.com/watch?v=C6evnjuLuDE
2,https://www.youtube.com/watch?v=DU6zMdPw1K4
2,https://www.youtube.com/watch?v=TBGC9vf1vEk
2,https://www.youtube.com/watch?v=A5eloCDQfzQ
18,https://www.youtube.com/watch?v=bc2QLYyq27U
3,https://www.youtube.com/watch?v=HzdFZA5KEgs
3,https://www.youtube.com/watch?v=xUvLMI6YRE8
3,https://www.youtube.com/watch?v=6SIKvcsLUp8
3,https://www.youtube.com/watch?v=4j0ocPJ469s
3,https://www.youtube.com/watch?v=-PVNwi_Zryc
5,https://www.youtube.com/watch?v=i6HuQWvZ9Hk
3,https://www.youtube.com/watch?v=i6HuQWvZ9Hk
5,https://www.youtube.com/watch?v=XOyimIX94HE
3,https://www.youtube.com/watch?v=XXi83bKUD9k
5,https://www.youtube.com/watch?v=kwfin7sjaYQ
3,https://www.youtube.com/watch?v=kwfin7sjaYQ
25,https://www.youtube.com/watch?v=6wBe6shkggw
1,https://www.youtube.com/watch?v=NPcUEix9pPc
26,https://www.youtube.com/watch?v=kVvLWqMuu5o
16,https://www.youtube.com/watch?v=OAlSSQi49-8
1,https://www.youtube.com/watch?v=ZAAVDNSbjv0
2,https://www.youtube.com/watch?v=ZAAVDNSbjv0
15,https://www.youtube.com/watch?v=5oOecWhXtkQ
13,https://www.youtube.com/watch?v=5oOecWhXtkQ
1,https://www.youtube.com/watch?v=yx9qsCk8C2w
12,https://www.youtube.com/watch?v=aMEF1mkIHSA
3,https://www.youtube.com/watch?v=RKe2udXM1NY
4,https://www.youtube.com/watch?v=WA3DkU-C040
4,https://www.youtube.com/watch?v=YxJnKgm9VqA
1,https://www.youtube.com/watch?v=Q7oeyhD3OwQ
1,https://www.youtube.com/watch?v=1ipBCTD95nY
2,https://www.youtube.com/watch?v=Ivrfz7CTYp8
27,https://www.youtube.com/watch?v=Ivrfz7CTYp8
28,https://www.youtube.com/watch?v=Ivrfz7CTYp8
29,https://www.youtube.com/watch?v=Ivrfz7CTYp8
30,https://www.youtube.com/watch?v=Ivrfz7CTYp8
9,https://www.youtube.com/watch?v=Ivrfz7CTYp8
31,https://www.youtube.com/watch?v=Ivrfz7CTYp8
2,https://www.youtube.com/watch?v=Z34o6SLRqD4
7,https://www.youtube.com/watch?v=2BwaKqvPD2E
