Row_number,poem_id,Title,Text content,Title_cleaned,Text_cleaned
575,37,اعمار,على طاري بحـور الشعـر ياللي تعـشـقـون بحـور	قـصيد الشاعـر اللي يحـسب الكـلمه ومعـناها,اعمار,على طاري بحور الشعر ياللي تعشقون بحور	قصيد الشاعر اللي يحسب الكلمه ومعناها
576,37,اعمار,يـلامـس كل بيـتٍ من بيـوتـه لهـفـة الـجـمـهــور	قبل تـنزل بصوت الـمطرب اللي شـاد بغـنـّاها,اعمار,يلامس كل بيت من بيوته لهفة الجمهور	قبل تنزل بصوت المطرب اللي شاد بغناها
577,37,اعمار,قـصايـد يمتـزج معـنى وصايفها بصدق شـعـور	لـفـت والـفـكـر ساق عـنـانـها والـليـل سـرّاها,اعمار,قصايد يمتزج معنى وصايفها بصدق شعور	لفت والفكر ساق عنانها والليل سراها
578,37,اعمار,تراقـص كنها بنـت الرمـك يـوم الـثـرى ممـطـور	تهـادتها الـقـلوب لـبعـضها والـشــــوق ودّاها,اعمار,تراقص كنها بنت الرمك يوم الثرى ممطور	تهادتها القلوب لبعضها والشوق وداها
579,37,اعمار,وانا لي من خيـول الـسـبق خـيل ٍ فـعـلها مـذكـور	على صهـوة جـوادي أكسـب الطـولات وارقاها,اعمار,وانا لي من خيول السبق خيل فعلها مذكور	على صهوة جوادي اكسب الطولات وارقاها
580,37,اعمار,ولي باهل الصقاره باع ومن أغلى الصقور صقـور	تـنوش الصـيـد لو تـرقى الـسحـابه وتـعـدّاها,اعمار,ولي باهل الصقاره باع ومن اغلى الصقور صقور	تنوش الصيد لو ترقى السحابه وتعداها
581,37,اعمار,ولي في الهجن خير الهجن واسبقها بدون قصور	أصيلة .. كـلما ما لــزّة لها الضـامر تـحــدّاها,اعمار,ولي في الهجن خير الهجن واسبقها بدون قصور	اصيلة كلما ما لزة لها الضامر تحداها
582,37,اعمار,اذا قلنا ( اعـمار ) الـمجد يشهد والـجناح يثــور	تروم الـمـسـتحـيـل اللي تـمـنـّتـه و تـمـنـّاها,اعمار,اذا قلنا اعمار المجد يشهد والجناح يثور	تروم المستحيل اللي تمنته و تمناها
583,37,اعمار,يـغـطـّيها الصفار تـقول كـنها شـعـلةٍ مـن نـور	مـزاياهـا عـديـدة وانـشـدونـي عـن مـزايـاها,اعمار,يغطيها الصفار تقول كنها شعلة من نور	مزاياها عديدة وانشدوني عن مزاياها
584,37,اعمار,مـفارقـها وسـاع ومن مـفـارقـها ياليـن الــزور	مع طـول رقـبـتـها وصـفـها يـوم آتـحـــلاها,اعمار,مفارقها وساع ومن مفارقها يالين الزور	مع طول رقبتها وصفها يوم اتحلاها
585,37,اعمار,منـارة مـسـجـدٍ مع قـبّـتـه يا عنـقهـا والـكـور	من عـيـون الحـسـود الله يحـفـظـها ويرعاها,اعمار,منارة مسجد مع قبته يا عنقها والكور	من عيون الحسود الله يحفظها ويرعاها
586,37,اعمار,متى ما عـرّضـت كـن اكثـريهـا للصـدر منـذور	ولا عـقـب السـنام ووطـيّها الا خـفّ مـوطـاها,اعمار,متى ما عرضت كن اكثريها للصدر منذور	ولا عقب السنام ووطيها الا خف موطاها
587,37,اعمار,فريدة عصر..هالة نصر..صفوة وطر..سمحة طور	تقل كن الله مْن عروق ( ناقة صالح ) انشاها,اعمار,فريدة عصرهالة نصرصفوة وطرسمحة طور	تقل كن الله من عروق ناقة صالح انشاها
588,37,اعمار,اذا تورد أعَزل النوق عنها خمس ست شهور	واذا تصـدر أورّدهـن .. واذا تـورد صـدرناها,اعمار,اذا تورد اعزل النوق عنها خمس ست شهور	واذا تصدر اوردهن واذا تورد صدرناها
589,37,اعمار,عـلى مـرباعـها فـزّن ولا رامـن بـحـق و زور	ميـاديـن البـطـولـة ملـكها والهـجـن تـتـلاها,اعمار,على مرباعها فزن ولا رامن بحق و زور	ميادين البطولة ملكها والهجن تتلاها
590,37,اعمار,متى ما روّحـت كـن الـرياح الـمقبلات دبـور	بأمـر الله مـســــراهـا و بـأمـر الله مجـراها,اعمار,متى ما روحت كن الرياح المقبلات دبور	بامر الله مسراها و بامر الله مجراها
591,37,اعمار,ومتى ما نحّـروها واقبلت .. رد الخصم منحور	تـروم تحـمد راعـيها وصعـب تـحـمد عـقباها,اعمار,ومتى ما نحروها واقبلت رد الخصم منحور	تروم تحمد راعيها وصعب تحمد عقباها
592,37,اعمار,تـقـل مـيـدانها ساحة قـتال وفـوقـها تيـمـور	على ضـرب الـدروب الكـايـدة والسبـق ربّاها,اعمار,تقل ميدانها ساحة قتال وفوقها تيمور	على ضرب الدروب الكايدة والسبق رباها
593,37,اعمار,اذا قامت تـقـوم لـحالها لو شـوطـها محـشـور	وهي بيـن انـدر الهـجـن الـعـمانيات واقــواها,اعمار,اذا قامت تقوم لحالها لو شوطها محشور	وهي بين اندر الهجن العمانيات واقواها
594,37,اعمار,ما خلقت لآخر الطـابور، خلقت فـ اوّل الطابور	زعيـمة كاس والسيـف الـمصقّل من ضحاياها,اعمار,ما خلقت لاخر الطابور خلقت ف اول الطابور	زعيمة كاس والسيف المصقل من ضحاياها
595,37,اعمار,بلا جنحان ما تـقدر تـحلـّق في الفـضا لـطـيور	وهي تـقـدر تـحلّق في الفضا لان الله أعـطاها,اعمار,بلا جنحان ما تقدر تحلق في الفضا لطيور	وهي تقدر تحلق في الفضا لان الله اعطاها
596,37,اعمار,ما يكسر تيمها (اعمار) غير (اعمار) يا اهل الشور	كن التيمات مـعـروضـه عـليها وتـنـقـّـاها,اعمار,ما يكسر تيمها اعمار غير اعمار يا اهل الشور	كن التيمات معروضه عليها وتنقاها
597,37,اعمار,أعـشّـيها على كـفـّي محـب وعـاشـق ومـسرور	وهي لـو ودّهـا كـفـّي تـعـشـّاها .. تـعـشـّاها,اعمار,اعشيها على كفي محب وعاشق ومسرور	وهي لو ودها كفي تعشاها تعشاها
598,37,اعمار,أجي مفـحـامها جيّـة ظـمان الوادي الـممـطـور	واسـايـرها وتـفهـم نـظـرة عـيونـي وتـقـراها,اعمار,اجي مفحامها جية ظمان الوادي الممطور	واسايرها وتفهم نظرة عيوني وتقراها
599,37,اعمار,أسمّـيها بمعـجـزة الهـجـن والاّ بإسم مـحظـور	من اسلحـة الدمـار الشامل الـمحضور مبـناها,اعمار,اسميها بمعجزة الهجن والا باسم محظور	من اسلحة الدمار الشامل المحضور مبناها
600,37,اعمار,هي البحـر الـمحيط الهايج اللي كل موجه سور	أو الـبـرق الـذي من نـاره الـغـيـمة نزل ماها,اعمار,هي البحر المحيط الهايج اللي كل موجه سور	او البرق الذي من ناره الغيمة نزل ماها
601,37,اعمار,شـ أسمّـيها وهي أكبر من الأسما .. وانا مـعذور	تعـب فيها الـخـيال وما قدر يكشف مسمّاها,اعمار,ش اسميها وهي اكبر من الاسما وانا معذور	تعب فيها الخيال وما قدر يكشف مسماها
602,37,اعمار,باوصّـفها لـكن من يـقدر يـوصـّف بنات الـحور	بنات الحور في الجنه وهي في الأرض مرباها,اعمار,باوصفها لكن من يقدر يوصف بنات الحور	بنات الحور في الجنه وهي في الارض مرباها
603,37,اعمار,لو ان فرعـون مصر اللي بنا الاهرام قبل عصور	حضر مركاضها في الشوط الاوّل يوم سقناها,اعمار,لو ان فرعون مصر اللي بنا الاهرام قبل عصور	حضر مركاضها في الشوط الاول يوم سقناها
604,37,اعمار,هدم الاهـرام والأهـرام مشهـورة وهو مشهـور	على هيكل ( اعمار ) اهرام مصرٍ عاد مبناها,اعمار,هدم الاهرام والاهرام مشهورة وهو مشهور	على هيكل اعمار اهرام مصر عاد مبناها
605,38,أفـا والله أفـا,لا تعـاتـبني على مزحـي معـاك	وتـعـتـبـر مـزحـي وسـيـله للـجـفا,افا والله افا,لا تعاتبني على مزحي معاك	وتعتبر مزحي وسيله للجفا
606,38,أفـا والله أفـا,لو خطاي وْمزحتي كانت خطاك	كـان قـلـبـي يا حـبـيـبــي قِـد عـفـا,افا والله افا,لو خطاي ومزحتي كانت خطاك	كان قلبي يا حبيبي قد عفا
607,38,أفـا والله أفـا,لان قلبي مطـلبه يكـسب رضاك	وعاهـدك يا صاحـبي عهـد الـوفـا,افا والله افا,لان قلبي مطلبه يكسب رضاك	وعاهدك يا صاحبي عهد الوفا
608,38,أفـا والله أفـا,عاهدك ما يعـشق انسانٍ سواك	وْعن جـميع الناس شايـم واكتفى,افا والله افا,عاهدك ما يعشق انسان سواك	وعن جميع الناس شايم واكتفى
609,38,أفـا والله أفـا,إكـتفى بك إنت بالـذات وْعـطاك	أصـدق الإحـساس والأعـظـم خفا,افا والله افا,اكتفى بك انت بالذات وعطاك	اصدق الاحساس والاعظم خفا
610,38,أفـا والله أفـا,كيف تجـفي صاحبٍ ما قد جفاك	وْ في غيابك طرف عينه ما غفى,افا والله افا,كيف تجفي صاحب ما قد جفاك	و في غيابك طرف عينه ما غفى
611,38,أفـا والله أفـا,ينتظر وصلك يبي عَـلّ وْ عساك	تـسمـح الـزلـّه وْخـفــّاقـك صـفى,افا والله افا,ينتظر وصلك يبي عل و عساك	تسمح الزله وخفاقك صفى
612,38,أفـا والله أفـا,لـدّني بَـردك وانـا احـتـاج لدفاك	حاجـة الـقـطـب الـشـمالي للــدفا,افا والله افا,لدني بردك وانا احتاج لدفاك	حاجة القطب الشمالي للدفا
613,38,أفـا والله أفـا,إنت غالي وْ ماحدٍ ياصل غـلاك	لـو تـجافـيـني .. وتـعـطـيني قـفا,افا والله افا,انت غالي و ماحد ياصل غلاك	لو تجافيني وتعطيني قفا
614,38,أفـا والله أفـا,واللـيـالـي مالهـا معـنـى بـَــلاك	والـمـفارق جـرح .. واللقـيا شفا,افا والله افا,والليالي مالها معنى بلاك	والمفارق جرح واللقيا شفا
615,38,أفـا والله أفـا,ما هقيت ان ترمي الماضي وراك	بـس ذا الـمـرّه أفـا … والله أفـا,افا والله افا,ما هقيت ان ترمي الماضي وراك	بس ذا المره افا والله افا
616,39,إقرب تعال,يا فـريــــد الـجـمـال طـاب ليـل الوصال	إقـــرب البيت بيتـك إقـــرب اقـرب تعال,اقرب تعال,يا فريد الجمال طاب ليل الوصال	اقرب البيت بيتك اقرب اقرب تعال
617,39,إقرب تعال,مرحـبا بـك هــــــلا مرحـبـــا ومـسهـلا	جـيت كـلـّي غـــــلا وجيـــت كلك دلال,اقرب تعال,مرحبا بك هلا مرحبا ومسهلا	جيت كلي غلا وجيت كلك دلال
618,39,إقرب تعال,رمــش عينك ورف خــــزّني من طرف	أعترف .. أعـترف سحــر عينك حـلال,اقرب تعال,رمش عينك ورف خزني من طرف	اعترف اعترف سحر عينك حلال
619,39,إقرب تعال,بـــك فـوادي حِـيــا يـا سـحــاب الحـِيا	ان منعــت الـحيـــا بـس يكفـي اتصال,اقرب تعال,بك فوادي حيا يا سحاب الحيا	ان منعت الحيا بس يكفي اتصال
620,40,ألف عام,ما يفـيد الكـلام ولـو أبا احكـي كـلامي	كيف اعاتب خفوقي وما يفيد الكلام,الف عام,ما يفيد الكلام ولو ابا احكي كلامي	كيف اعاتب خفوقي وما يفيد الكلام
621,40,ألف عام,من زرعته في قلبي صار كل اهتمامي	طار بي فوق هـامه ومرّ بي ألف عام,الف عام,من زرعته في قلبي صار كل اهتمامي	طار بي فوق هامه ومر بي الف عام
622,40,ألف عام,قمت احس الخفوق ونـبضها في عظامي	بعـظامي نبـضها وكسرت بي العظام,الف عام,قمت احس الخفوق ونبضها في عظامي	بعظامي نبضها وكسرت بي العظام
623,40,ألف عام,وآنا احب الليالي واعشق اعشق ظلامي	وآنا ما قـمـت امـيّـز نـورها من ظــلام,الف عام,وانا احب الليالي واعشق اعشق ظلامي	وانا ما قمت اميز نورها من ظلام
624,40,ألف عام,بـاحـتـرامٍ أجـيـها ورجـعـت بـاحـتــرامي	وآنا أكـتب بـدمّـي إسمـها بـاحـتــرام,الف عام,باحترام اجيها ورجعت باحترامي	وانا اكتب بدمي اسمها باحترام
625,40,ألف عام,قمت انادي إسمها وانسى كل الأسامي	واسمها في إسمها م الأسامي الكرام,الف عام,قمت انادي اسمها وانسى كل الاسامي	واسمها في اسمها م الاسامي الكرام
626,40,ألف عام,لام ميـمٍ ويـاءٍ والألـف في الخـتـامـي	وعقـبـها هالله هالله ويا سلامٍ سـلام,الف عام,لام ميم وياء والالف في الختامي	وعقبها هالله هالله ويا سلام سلام
627,40,ألف عام,ألف عـامٍ قضـيـته و ألـف عـامٍ أمـامي	ورجّعتني في عالم شوق برّ وخـيام,الف عام,الف عام قضيته و الف عام امامي	ورجعتني في عالم شوق بر وخيام
628,41,إلى البـراءه,حبيبي والله انّي ما قدرت استوعب اللي صار	لفا خبر الـنيا واخلـفت ظن اللي صدق ظنـّه,الى البراءه,حبيبي والله اني ما قدرت استوعب اللي صار	لفا خبر النيا واخلفت ظن اللي صدق ظنه
629,41,إلى البـراءه,أنا كـذّبت فيك اللي نقـل لي صادقـات اخبار	كتمت انفاس صدري وافضحتني جرّة الونّه,الى البراءه,انا كذبت فيك اللي نقل لي صادقات اخبار	كتمت انفاس صدري وافضحتني جرة الونه
630,41,إلى البـراءه,حبيبي ضاعت دروب الرجا والدار غير الدار	سكـنت بـدار من يـسكـن بها ما تـلحـقـه منـّه,الى البراءه,حبيبي ضاعت دروب الرجا والدار غير الدار	سكنت بدار من يسكن بها ما تلحقه منه
631,41,إلى البـراءه,ياويلي كل ما اطالع براءه تـلمحك الانظار	ومن يسـكـن بعـينـك كيف تـقدر تبتعد عنـّه,الى البراءه,ياويلي كل ما اطالع براءه تلمحك الانظار	ومن يسكن بعينك كيف تقدر تبتعد عنه
632,41,إلى البـراءه,بدت تتشابه دروبي يالين الدرب فيها احتار	أنا المغرم وكانت لي دروب الشوق مطمنـّه,الى البراءه,بدت تتشابه دروبي يالين الدرب فيها احتار	انا المغرم وكانت لي دروب الشوق مطمنه
633,41,إلى البـراءه,أعاتب كل خطوة شوق واصنع للذنوب اعذار	يالين العـذر أصبح ذنب حظي واعتـذر منـّه,الى البراءه,اعاتب كل خطوة شوق واصنع للذنوب اعذار	يالين العذر اصبح ذنب حظي واعتذر منه
634,41,إلى البـراءه,إذا سن الدهر سيفه وحلـّت بالقضا الاقدار	من يـرد للـقضا سـيفه إذا سـيف الـدهر سنـّه,الى البراءه,اذا سن الدهر سيفه وحلت بالقضا الاقدار	من يرد للقضا سيفه اذا سيف الدهر سنه
635,41,إلى البـراءه,إذا جفـّت موارد هالتمنّي واذبلت الازهار	من يرد السـواقـي والـندى والعـطر والـبَـنـّه,الى البراءه,اذا جفت موارد هالتمني واذبلت الازهار	من يرد السواقي والندى والعطر والبنه
636,41,إلى البـراءه,كتبتك والقوافي بيت سرّي والبيوت اسرار	تعبت اخفي جروحي والشعر يوشي وانا اكنـّه,الى البراءه,كتبتك والقوافي بيت سري والبيوت اسرار	تعبت اخفي جروحي والشعر يوشي وانا اكنه
637,41,إلى البـراءه,حبيبي وانت في قربك وبعدك جنـّتي والنار	واذا لابـد من بعـدك .. حـبيبي نارك الجـنـّه,الى البراءه,حبيبي وانت في قربك وبعدك جنتي والنار	واذا لابد من بعدك حبيبي نارك الجنه
638,42,أمجاد الجدود,في ظل من يسجد لجاهه عبيده	والاعمار تمضي والليالي مقيمه,امجاد الجدود,في ظل من يسجد لجاهه عبيده	والاعمار تمضي والليالي مقيمه
639,42,أمجاد الجدود,واللي يقول اللي خذ المجد بيده	الـمجـد ما يـوخــذ بلـيّا عـزيـمه,امجاد الجدود,واللي يقول اللي خذ المجد بيده	المجد ما يوخذ بليا عزيمه
640,42,أمجاد الجدود,سـلام يـنبض بالـفخامه وريـده	كـلّه عـلو و فـيه قـدر وحـشيمه,امجاد الجدود,سلام ينبض بالفخامه وريده	كله علو و فيه قدر وحشيمه
641,42,أمجاد الجدود,يـنصاك ياشـبل الأسـود العـنيده	يا ابن الكـريم ويا سلاله كريمه,امجاد الجدود,ينصاك ياشبل الاسود العنيده	يا ابن الكريم ويا سلاله كريمه
642,42,أمجاد الجدود,ماجد مليك المجد، والمجد عيده	عـلاقـتـه مع التـقـدم .. حـميـمه,امجاد الجدود,ماجد مليك المجد والمجد عيده	علاقته مع التقدم حميمه
643,42,أمجاد الجدود,يزخر بالاعجاز الخـيالي رصيده	بفضل من يحيي العظام الرميمه,امجاد الجدود,يزخر بالاعجاز الخيالي رصيده	بفضل من يحيي العظام الرميمه
644,42,أمجاد الجدود,فـريـد وانجـازات فـعــله فـريـده	عـظـيم ويحـب الفعـول العـظيمه,امجاد الجدود,فريد وانجازات فعله فريده	عظيم ويحب الفعول العظيمه
645,42,أمجاد الجدود,حـثـّيت رجـلك والمـسافه بعـيده	والعقل ناضج والجوارح سليمه,امجاد الجدود,حثيت رجلك والمسافه بعيده	والعقل ناضج والجوارح سليمه
646,42,أمجاد الجدود,خطوه فدائيّه .. وخطوه سديده	طوّلت في الغـيبه وجبت الغـنيمه,امجاد الجدود,خطوه فدائيه وخطوه سديده	طولت في الغيبه وجبت الغنيمه
647,42,أمجاد الجدود,الناقـص بفعـله فـعـولك تـزيـده	والزايـد فعـوله معـك دون قـيـمه,امجاد الجدود,الناقص بفعله فعولك تزيده	والزايد فعوله معك دون قيمه
648,42,أمجاد الجدود,مالك شـبيه و كل فـعـل ٍ تجـيـده	قلـّي من اللي يْقول بانك خصيمه,امجاد الجدود,مالك شبيه و كل فعل تجيده	قلي من اللي يقول بانك خصيمه
649,42,أمجاد الجدود,وشلون أحفر فكرتي في قصيده	وابوك من مجده على متن غيمه,امجاد الجدود,وشلون احفر فكرتي في قصيده	وابوك من مجده على متن غيمه
650,42,أمجاد الجدود,لكـن .. تـأكـيـد العــلـوم الأكـيـده	يحـتـاج له شـهـادةٍ مسـتـقـيـمه,امجاد الجدود,لكن تاكيد العلوم الاكيده	يحتاج له شهادة مستقيمه
651,42,أمجاد الجدود,قـرّرت أنشـرها بوسـط الجـريـده	لاجل يغـنـّيها السحاب ونسـيمه,امجاد الجدود,قررت انشرها بوسط الجريده	لاجل يغنيها السحاب ونسيمه
652,42,أمجاد الجدود,في كل عـام تجـيب فـرحه جـديـده	وتـكمّـل امـجاد الجـدود القديمه,امجاد الجدود,في كل عام تجيب فرحه جديده	وتكمل امجاد الجدود القديمه
653,42,أمجاد الجدود,السيف في إيدك عبد يخضع لسيده	ويدك تزيد السيف رونق وقيمه,امجاد الجدود,السيف في ايدك عبد يخضع لسيده	ويدك تزيد السيف رونق وقيمه
654,43,إمـتـحـانـك صـعـب,إمـتـحـانـك صـعـب .. لكـن سـهـل حـلّـه	بس عـطـنـي يـا حـبـيـبـي ربــع ســاعـه,امتحانك صعب,امتحانك صعب لكن سهل حله	بس عطني يا حبيبي ربع ساعه
655,43,إمـتـحـانـك صـعـب,ليـن عـيـنـي تـكـنــز الـدمــــع وتـهــــلّـه	والـدمــوع احـيـان تـحـتـاج لـشـــجـاعـه,امتحانك صعب,لين عيني تكنز الدمع وتهله	والدموع احيان تحتاج لشجاعه
656,43,إمـتـحـانـك صـعـب,كـن فـرع اللـيــــــل يـوم اللـيـــــــل فـلّــه	فـرعـــك اللـي سَــهّــر الـنـاظـــر و لاعــه,امتحانك صعب,كن فرع الليل يوم الليل فله	فرعك اللي سهر الناظر و لاعه
657,43,إمـتـحـانـك صـعـب,لـيـلــــةٍ كـانــت ضـلـــوعي مـسـتـحـلّــه	لـيـن نـور الـفـجــر وقّـضـنـــي شــعـاعـه,امتحانك صعب,ليلة كانت ضلوعي مستحله	لين نور الفجر وقضني شعاعه
658,43,إمـتـحـانـك صـعـب,يــوم لاحــت مـن مـحـيّــــــاك الأهـلّــــه	كـنّـها تـنـشــد عـن الـحــــب ومـتـــاعـه,امتحانك صعب,يوم لاحت من محياك الاهله	كنها تنشد عن الحب ومتاعه
659,43,إمـتـحـانـك صـعـب,كـيف تـنـشـد عن مـقـامـك وش مـحـلّــه	وانـت عـقـب الـوصـل قـدّمـت الـقـطـاعه,امتحانك صعب,كيف تنشد عن مقامك وش محله	وانت عقب الوصل قدمت القطاعه
660,43,إمـتـحـانـك صـعـب,تحـت صـدري قـلـب مـا يـقـبـل مــذلّــه	حـسـبـي الله ع الـذي تـلّـه وصــــاعـه,امتحانك صعب,تحت صدري قلب ما يقبل مذله	حسبي الله ع الذي تله وصاعه
661,43,إمـتـحـانـك صـعـب,حـسـبـي الله ع الـذي صــــاعـه و تـلّــه	والـمـصـيـبـه قـلـت لـه سـمـعٍ وطـــاعـه,امتحانك صعب,حسبي الله ع الذي صاعه و تله	والمصيبه قلت له سمع وطاعه
662,43,إمـتـحـانـك صـعـب,مـا قـدرت اجــزم عـلى كـثــــر الأدلّــه	طال صــدّك غيـر لك عـنـدي شـفـاعـه,امتحانك صعب,ما قدرت اجزم على كثر الادله	طال صدك غير لك عندي شفاعه
663,43,إمـتـحـانـك صـعـب,كـل عـــرق ٍ يـنـبـــض بـحـبّــــــك تـدلّــه	والـوفـا حـكّــم ضـمـيـــرك فـي ضـيـاعه,امتحانك صعب,كل عرق ينبض بحبك تدله	والوفا حكم ضميرك في ضياعه
664,43,إمـتـحـانـك صـعـب,للـوفــــا أسّـســــت دولــه مـســـتــقــلّــه	حـجـمـها يـاخـذ مـن الـكـون اتـســـاعـه,امتحانك صعب,للوفا اسست دوله مستقله	حجمها ياخذ من الكون اتساعه
665,43,إمـتـحـانـك صـعـب,الـوفــا مـعـقــــود فـي صـدري سـجـلّــه	ســجّـلــوا بـاســمـي بـراءة إخـتـــراعـه,امتحانك صعب,الوفا معقود في صدري سجله	سجلوا باسمي براءة اختراعه
666,44,آمر يا بو خالد,عـمّ الفـرح والكـل هنـّـا	شـرّفـتـنـا يالعـين يالعــين,امر يا بو خالد,عم الفرح والكل هنا	شرفتنا يالعين يالعين
667,44,آمر يا بو خالد,طير السعد رفرف وغنّا	وتمايـلت خضر البسـاتين,امر يا بو خالد,طير السعد رفرف وغنا	وتمايلت خضر البساتين
668,44,آمر يا بو خالد,الـفــوز رايـاتــه لـفـنـّـا	والفـوز تـشهـد له مـيادين,امر يا بو خالد,الفوز راياته لفنا	والفوز تشهد له ميادين
669,44,آمر يا بو خالد,رايـاتـكـــم فـيـنا ومـنـّا	لافـراحـكـم جـينا ملـبّـيـن,امر يا بو خالد,راياتكم فينا ومنا	لافراحكم جينا ملبين
670,44,آمر يا بو خالد,نقـولهـا عـنـكـم وعـنـّـا	هـذي عـوايـدنا من سنين,امر يا بو خالد,نقولها عنكم وعنا	هذي عوايدنا من سنين
671,44,آمر يا بو خالد,سقـنا البراهين وضمنّا	بافـعالـنا سقـنا الـبـراهين,امر يا بو خالد,سقنا البراهين وضمنا	بافعالنا سقنا البراهين
672,44,آمر يا بو خالد,آمـر يابو (خالد) تمنـّى	واسكن قبل هالعين هالعين,امر يا بو خالد,امر يابو خالد تمنى	واسكن قبل هالعين هالعين
673,44,آمر يا بو خالد,غصن الثنا لجلك تثـنـّا	خذها يابو خالد عن يمين,امر يا بو خالد,غصن الثنا لجلك تثنا	خذها يابو خالد عن يمين
674,44,آمر يا بو خالد,بالحق في شفكم شهدنا	والحق ترجح به موازين,امر يا بو خالد,بالحق في شفكم شهدنا	والحق ترجح به موازين
675,44,آمر يا بو خالد,بك نفخر ويفخر وطنّا	شـرّفـتـنا يا قـايـد العـــين,امر يا بو خالد,بك نفخر ويفخر وطنا	شرفتنا يا قايد العين
676,45,أمشي بعزم,أسـمع صـدى صوته بعـيـدٍ ينادي	واشوف قلبي للصدى يتبع نداه,امشي بعزم,اسمع صدى صوته بعيد ينادي	واشوف قلبي للصدى يتبع نداه
677,45,أمشي بعزم,من فاتنه في وصفها الحسن عادي	يرسم صور من خاطرٍ ما تعدّاه,امشي بعزم,من فاتنه في وصفها الحسن عادي	يرسم صور من خاطر ما تعداه
678,45,أمشي بعزم,شعـرٍ لفـاني منه ريــم الـبــــوادي	الجادل اللي تزهرالأرض بخطاه,امشي بعزم,شعر لفاني منه ريم البوادي	الجادل اللي تزهرالارض بخطاه
679,45,أمشي بعزم,يـشـكي ودادٍ من صـمـيم الـفـوادي	ويا كم قبله من شكى الحب ويلاه,امشي بعزم,يشكي وداد من صميم الفوادي	ويا كم قبله من شكى الحب ويلاه
680,45,أمشي بعزم,وكان الذي به في خـيال اعـتـقادي	عنـّه نشيل الهم والجرح و وزاه,امشي بعزم,وكان الذي به في خيال اعتقادي	عنه نشيل الهم والجرح و وزاه
681,45,أمشي بعزم,وان كان له فدوى ترى الحال فادي	والـمال قـبل الحـال والله يــفـداه,امشي بعزم,وان كان له فدوى ترى الحال فادي	والمال قبل الحال والله يفداه
682,45,أمشي بعزم,دامه تربّـع فـوق عـرش الـودادي	وش لي بعـمرٍ دونه اليوم ما باه,امشي بعزم,دامه تربع فوق عرش الودادي	وش لي بعمر دونه اليوم ما باه
683,45,أمشي بعزم,الزيـن له أمـشي بعـزم اجـتهادي	واللي يصون الحب في العين سكناه,امشي بعزم,الزين له امشي بعزم اجتهادي	واللي يصون الحب في العين سكناه
684,46,أنا في الشـعر,أنا في الشعر ابن هذاك إذا إنته تعرف الشعر	أهيّج في البحور أمواج، أمشّيها على كيفي,انا في الشعر,انا في الشعر ابن هذاك اذا انته تعرف الشعر	اهيج في البحور امواج امشيها على كيفي
685,46,أنا في الشـعر,واقولّك لا تجاريني ترى أمشي بدربٍ وعر	واذا تبغي تجاريني تـرى لك صامـدٍ سـيـفي,انا في الشعر,واقولك لا تجاريني ترى امشي بدرب وعر	واذا تبغي تجاريني ترى لك صامد سيفي
686,46,أنا في الشـعر,ولا تضمن تحوز النصر وانا بحرٍ وانته نهر	واذا عارضت تيّـاري تبرّى موجي وسِـيفي,انا في الشعر,ولا تضمن تحوز النصر وانا بحر وانته نهر	واذا عارضت تياري تبرى موجي وسيفي
687,46,أنا في الشـعر,وكم من واحدٍ غيرك تعرّض لي وجاه الكسر	ودارت به هبوب رياح في أقوى عواصيفي,انا في الشعر,وكم من واحد غيرك تعرض لي وجاه الكسر	ودارت به هبوب رياح في اقوى عواصيفي
688,46,أنا في الشـعر,تهاجـم سايـل الأقـلام وسطـرٍ ما يهزّه سطر	وإنتـه وينهـا افـكارك عن بيـوتي وتهـديـفي,انا في الشعر,تهاجم سايل الاقلام وسطر ما يهزه سطر	وانته وينها افكارك عن بيوتي وتهديفي
689,46,أنا في الشـعر,تبا روس العلا وانته تحوّل في طريقك حدر	تحـاول بس ما تـقـدر بأن توصل مشـاريفي,انا في الشعر,تبا روس العلا وانته تحول في طريقك حدر	تحاول بس ما تقدر بان توصل مشاريفي
690,46,أنا في الشـعر,نجـوم اللـيل ما تـنور إذا بيّـن شعـاع الـبـدر	وش اللي يجمع الوسمي على سحب وْرعد صيفي,انا في الشعر,نجوم الليل ما تنور اذا بين شعاع البدر	وش اللي يجمع الوسمي على سحب ورعد صيفي
691,46,أنا في الشـعر,تشـوف الجـاذبيّـه لي في هالدنيا تجـرّك جر	أنا عكـسه أفـرّك ويـن ما أبغـي على كـيـفي,انا في الشعر,تشوف الجاذبيه لي في هالدنيا تجرك جر	انا عكسه افرك وين ما ابغي على كيفي
692,47,أنـا و عيني,أنـا وعـيني نشـتـكي منـّـك الـيـوم	ونقـول وينـك غـبت يا نور عيني,انا و عيني,انا وعيني نشتكي منك اليوم	ونقول وينك غبت يا نور عيني
693,47,أنـا و عيني,دونك ترى العالم من الفرح محروم	ماتدري انك صرت فرحة سنيني,انا و عيني,دونك ترى العالم من الفرح محروم	ماتدري انك صرت فرحة سنيني
694,47,أنـا و عيني,شوفـتـك منها تـنجـلي كل الهـموم	وان غـبت عـنـّي كنـّها نـار فيني,انا و عيني,شوفتك منها تنجلي كل الهموم	وان غبت عني كنها نار فيني
