Row_number,poem_id,Title,Text content,Title_cleaned,Text_cleaned
25,3,هواء الإمارات وثراها,ما وراها غير باقي ذكرياته في مصيره	يوم شاف امجاد غيره قال ياليته خذاها,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره	يوم شاف امجاد غيره قال ياليته خذاها
26,3,هواء الإمارات وثراها,يحسب ان المجد فجأه ما درى ان المجد سيره	سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,هواء الامارات وثراها,يحسب ان المجد فجاه ما درى ان المجد سيره	سيرة ما تنتهي دام الكواكب في سماها
27,3,هواء الإمارات وثراها,والـقدر على وتيـره .. والعـمر على وتيـره	والثـنين لبعـضـهم يمـشون والدنيا عطاها,هواء الامارات وثراها,والقدر على وتيره والعمر على وتيره	والثنين لبعضهم يمشون والدنيا عطاها
28,3,هواء الإمارات وثراها,ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره	كان ما مدّيتها بالجـهد ما نـالك رضاها,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره	كان ما مديتها بالجهد ما نالك رضاها
29,3,هواء الإمارات وثراها,السعاده لو تباع فـ سوق الاحزان الكثيره	كل واحـد يعـتريه الـحزن تلـقاه اشـتراها,هواء الامارات وثراها,السعاده لو تباع ف سوق الاحزان الكثيره	كل واحد يعتريه الحزن تلقاه اشتراها
30,3,هواء الإمارات وثراها,السـعاده ما اشـترتها روس الاموال الوفـيره	شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها,هواء الامارات وثراها,السعاده ما اشترتها روس الاموال الوفيره	شوف كم تاجر يدورها ولكن ما لقاها
31,3,هواء الإمارات وثراها,بس انا محتاج ما لا احتاج فـعلاً شي غيره	شي يسمو بالنفوس لين يظهر محتواها,هواء الامارات وثراها,بس انا محتاج ما لا احتاج فعلا شي غيره	شي يسمو بالنفوس لين يظهر محتواها
32,3,هواء الإمارات وثراها,هي قصيدة شاعرٍ وضّح لك اللي فـي ظميره	إيْـعَـرف وش علّـته لكن يجـهل وشـ دواها,هواء الامارات وثراها,هي قصيدة شاعر وضح لك اللي في ظميره	ايعرف وش علته لكن يجهل وش دواها
33,3,هواء الإمارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره	ليـن جاب اللي يلـيق بـمـسـتـواه ومـسـتـواها,هواء الامارات وثراها,غاص بالهوجاس باعماق المحيطات الغزيره	لين جاب اللي يليق بمستواه ومستواها
34,3,هواء الإمارات وثراها,مو مهم تكون نـشرت في مجلات الجزيره	الـمهم تقول لي كم شخصٍ متـثـقّـف قـراها,هواء الامارات وثراها,مو مهم تكون نشرت في مجلات الجزيره	المهم تقول لي كم شخص متثقف قراها
35,3,هواء الإمارات وثراها,الـمهم ان (لندن) اللي مسكها يخالط عبيره	آغلى منها هوا أرض ( الإمــــارات ) وثراها,هواء الامارات وثراها,المهم ان لندن اللي مسكها يخالط عبيره	اغلى منها هوا ارض الامارات وثراها
36,4,يتيم,يتيـم فـاقد شـوفة امّـه من سـنين	وابوه مـات مْن القـهـر والتجـنّـي,يتيم,يتيم فاقد شوفة امه من سنين	وابوه مات من القهر والتجني
37,4,يتيم,ما شاف واحد منهم بْـنظرة العين	والحزن يهدم في الضلوع وْيبـنّـي,يتيم,ما شاف واحد منهم بنظرة العين	والحزن يهدم في الضلوع ويبني
38,4,يتيم,تـنزل دمـوعه من لحـون الـمغـنّـين	واهل اللحـون مْن السـعاده تغـنّـي,يتيم,تنزل دموعه من لحون المغنين	واهل اللحون من السعاده تغني
39,4,يتيم,قالوا تمنّى؟ قال ابا شوف الاثنين	كـانـه يفـيـد الـميّـتـيـــن التـمنّــي,يتيم,قالوا تمنى قال ابا شوف الاثنين	كانه يفيد الميتين التمني
40,4,يتيم,يا كامل الأوصـاف، يا نادر الزين	هذا شعـوري كل ما غبـت عنّـي,يتيم,يا كامل الاوصاف يا نادر الزين	هذا شعوري كل ما غبت عني
41,4,يتيم,كيف آتقبّـل تعزية بُـعدك الشـين	وآشـوف عـذّالي تجـيـك وْتهـنّـي,يتيم,كيف اتقبل تعزية بعدك الشين	واشوف عذالي تجيك وتهني
42,4,يتيم,دام الهجر والشـوق والحزن قاسيـن	لـيتـك علـينا يا حـبيـبي تـحـنّـي,يتيم,دام الهجر والشوق والحزن قاسين	ليتك علينا يا حبيبي تحني
43,4,يتيم,يكفيك فـنّي عن فنون الـمحبّـين	كم مـرّه اسـتطربت والـفـن فـنّـي,يتيم,يكفيك فني عن فنون المحبين	كم مره استطربت والفن فني
44,4,يتيم,كـنت آتـأنّى من فراقـك مـعي ليـن	طـوّلـت بفراقك ومـات الـتـأنّـي,يتيم,كنت اتانى من فراقك معي لين	طولت بفراقك ومات التاني
45,4,يتيم,وكان الخطا منّك، مسامحك هالحين	وكان الخطا منّي، وش تريد منّـي؟,يتيم,وكان الخطا منك مسامحك هالحين	وكان الخطا مني وش تريد مني
46,5,مرت على بـالي,حبـيـبتي مـرّت على بـالـي الـيـوم	وْ وقّـفــت تـقـديرٍ لـها يوم مـرّت,مرت على بالي,حبيبتي مرت على بالي اليوم	و وقفت تقدير لها يوم مرت
47,5,مرت على بـالي,جابت لي الفرحـه وانا كنت مهـمـوم	الظـاهـر انـها عـن عـلـومي تـحـرّت,مرت على بالي,جابت لي الفرحه وانا كنت مهموم	الظاهر انها عن علومي تحرت
48,5,مرت على بـالي,وفراقـها كـوّن فـي خـفّـاقي غـيـوم	أمـطـــارها عـلى الـفـيـافـي لا خـرّت,مرت على بالي,وفراقها كون في خفاقي غيوم	امطارها على الفيافي لا خرت
49,5,مرت على بـالي,تـنـبت من الأزهـار ما كان مـعـدوم	وتسـر نـفـسٍ من زمـن ما اسـتـسـرّت,مرت على بالي,تنبت من الازهار ما كان معدوم	وتسر نفس من زمن ما استسرت
50,5,مرت على بـالي,فـي حبّـها حـسّــادي تـكـثّـر اللـوم	وهي ورا عـوج الـضـلـوع اسـتـقــرّت,مرت على بالي,في حبها حسادي تكثر اللوم	وهي ورا عوج الضلوع استقرت
51,5,مرت على بـالي,أحلـم بها وآطـيح فـي النوم وآقوم	فرحان .. لكن فرحتي ما اسـتمرّت,مرت على بالي,احلم بها واطيح في النوم واقوم	فرحان لكن فرحتي ما استمرت
52,5,مرت على بـالي,إلى صـحـيت آعاتـب الـحـظ وآلـوم	الايام .. والأيـام مـنـها تـبــــرّت,مرت على بالي,الى صحيت اعاتب الحظ والوم	الايام والايام منها تبرت
53,5,مرت على بـالي,الهـجر طـعـنة خاين بْسيف مسمـوم	نـفسـه على فـعـل الـخـيانـه تضــرّت,مرت على بالي,الهجر طعنة خاين بسيف مسموم	نفسه على فعل الخيانه تضرت
54,5,مرت على بـالي,ومن يحرم مْن العشـق يعيش محروم	كـم روح من قل الوصـال استـضـرّت,مرت على بالي,ومن يحرم من العشق يعيش محروم	كم روح من قل الوصال استضرت
55,5,مرت على بـالي,لا جيت انام .. النفس ما تعشق النوم	حـاولـت اقـنّـعـها .. لـكـنـها أصـرّت,مرت على بالي,لا جيت انام النفس ما تعشق النوم	حاولت اقنعها لكنها اصرت
56,5,مرت على بـالي,تبـغي حـبيـبة قلـبـي الـغـالــيه دوم	تمـر فـي بـالـي، وآوقّـف لا مـــرّت,مرت على بالي,تبغي حبيبة قلبي الغاليه دوم	تمر في بالي واوقف لا مرت
57,6,لا تلبـس ذهـب,إنتـه ذهـب من دون ما تلـبـس ذهـــب	وش لـه تـروح الـســوق وتـدوّر عـلـيـه,لا تلبس ذهب,انته ذهب من دون ما تلبس ذهب	وش له تروح السوق وتدور عليه
58,6,لا تلبـس ذهـب,سـبـحـان مـن سـوّا .. وْجَـلَّ مـن وهـــب	حــــلاك بـيـدينـك كأنـّـك مـنـتـقـيــه,لا تلبس ذهب,سبحان من سوا وجل من وهب	حلاك بيدينك كانك منتقيه
59,6,لا تلبـس ذهـب,شـفايـفـك جـمـره .. وثـغـرك من لـهـب	خايـف على خـدّك لهـب ثغـرك يجـيه,لا تلبس ذهب,شفايفك جمره وثغرك من لهب	خايف على خدك لهب ثغرك يجيه
60,6,لا تلبـس ذهـب,لو كان رمـشـك يـنـّـهـب .. كـان انـّـهــب	من كل عاقل شاف رمشك .. أو سـفيه,لا تلبس ذهب,لو كان رمشك ينهب كان انهب	من كل عاقل شاف رمشك او سفيه
