Id,Title,Audio,Video,Audio2
159,قـوس الربـابـة,PoetryMedia\159\159_audio_1.mp3,,
160,قــوس قـــزح,PoetryMedia\160\160_audio_1.mp3,,
165,لا جمـع و لا طـرح,PoetryMedia\165\165_audio_1.mp3,,
168,لا تغـرّك ضحـكتـي,PoetryMedia\168\168_audio_1.mp3,,
169,لا تلعن الفـقــر,PoetryMedia\169\169_audio_1.mp3,,
170,لا تنـدفع,PoetryMedia\170\170_audio_1.mp3,,
172,لحن الـمفارق,PoetryMedia\172\172_audio_1.mp3,,
175,لـم تـــرى,PoetryMedia\175\175_audio_1.mp3,,
176,ليـل وراه ليـل,PoetryMedia\176\176_audio_1.mp3,,
177,ليه .. وْ كيف .. وْ عن .. وْ من,PoetryMedia\177\177_audio_1.mp3,,
178,ما كـان له داعـي,PoetryMedia\178\178_audio_1.mp3,,
180,مدخـل غـرامي,PoetryMedia\180\180_audio_1.mp3,,
181,مـراجــــــــل,PoetryMedia\181\181_audio_1.mp3,,
185,مريم,PoetryMedia\185\185_audio_1.mp3,,
187,معلّقة الاتحاد,PoetryMedia\187\187_audio_1.mp3,,
188,مطار,PoetryMedia\188\188_audio_1.mp3,,
189,مطر .. مطر,PoetryMedia\189\189_audio_1.mp3,,
191,من الف ليله وليله,PoetryMedia\191\191_audio_1.mp3,,
194,من هو فزّاع,PoetryMedia\194\194_audio_1.mp3,,
195,من يحبك,PoetryMedia\195\195_audio_1.mp3,,
198,نخوة قوافي,PoetryMedia\198\198_audio_1.mp3,,
201,هذي طبوعي,PoetryMedia\201\201_audio_1.mp3,,
202,هنيّالي,PoetryMedia\202\202_audio_1.mp3,,
203,هوا الحريّه,PoetryMedia\203\203_audio_1.mp3,,
206,ولا يقدَر يلمّ الشمْل غير القايد الربّان,PoetryMedia\206\206_audio_1.mp3,,
207,وين انت ؟,PoetryMedia\207\207_audio_1.mp3,,
208,يا أيُّها,PoetryMedia\208\208_audio_1.mp3,,
209,يا أحمد,PoetryMedia\209\209_audio_1.mp3,,
210,يابن آدم,PoetryMedia\210\210_audio_1.mp3,,
212,يا سلام الله,PoetryMedia\212\212_audio_1.mp3,,
214,يا عيب الشوم,PoetryMedia\214\214_audio_1.mp3,,
215,يا مشعل القلب,PoetryMedia\215\215_audio_1.mp3,,
