ID,poem_id,Title_cleaned,Date,Status,Poem,Image_URL
1,,,02-05,URL,"نحـنـا معزَّتـنــا، معـزّة رجـاجيـل
ونتُبت الميزان فالموقف الصعب
الشعب حب الدار من جيل لجيل
متوارثه واحنا هنا نخدم الشعـب",https://drive.google.com/uc?export=download&id=1sVdBTUemE6C19CwYcHM_WVeHvhrzK41_
2,,,01-18,URL,"حضـورك بْحد ذاتـه وبشكل ضـمني
يوحـي بأنّـك على مـا تشـهده راضي
من نور ويهك في حاضرنا نحن نبني
مستقبلٍ ساسه مثبّـت من الماضي",https://drive.google.com/uc?export=download&id=1FPbyrnqKTcGhwTXyN7wTpO2q3o75gTic
3,,,01-08,URL,"⁨ أطلـب رضا الله دام قـلبك فـيه روع
واثني الصـلاه اللـي تبـي تصلّـي بهـا
وضع السجود يشابهه وضع الركـوع
‏‎واستحضـر الدعـوه قبـل تدعي بهـا
‏‎يارب سـبحانك عساي مْـن الجموع",https://drive.google.com/uc?export=download&id=1rTYKuUcMXcCmrRbryQUmMQUETr6bGJCC
4,,,01-05,URL,"ياحي هالطلّـه وياحي هـ الكف
ياهـيبـة الأمّـه ويا فـخــر دارك
وجودك يعزّز لنا وحـدة الصـف
فـ السِـلم ولا في نهـار المعارك
رايـة وطنّـا فـ العـلا دايـم تـرف
بْـحنـكتك وبْهـيـبتك وبْـقـرارك",https://drive.google.com/uc?export=download&id=1_GNXnfkSuFcVXJsSxOYjLV8opFXZizDL
5,, سفينة أحلامي,12-22,URL,"سفينـة أحـلامـي عصاميّـة شـراع
بين البحر والشمس والغيمة وانا
تبحر مثل دمعـة محـبٍ في وداع
ذاق المـفـارق بعـد ماذاق العـنـا
والمنظر الجذّاب يعطيك انطبـاع
إن الطبيـعـه عنـدها حفـلة غـنـا
حفلة بدون آلات وبدون استمـاع
تعيـشها بإحساس وشعور و هنـا",https://drive.google.com/uc?export=download&id=1SzeHeo-I19ObbhMnz-ND4RxF11U3oRQO
6,,,12-19,URL,"أنا أحمل الإنسان إلى الجهة التي يختارها لو
أمرني أن آخذه للمسجد .. سآخذه ولو أمرني
أن آخذه للفساد .. سآخذه
قلت حينها :
الخطيبة في الوجهة
وليس في الخطوة",https://drive.google.com/uc?export=download&id=1KOmua2lpBVwRyZxvjp7ASG8hOq6HGQYz
